"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56151","spm","","536615","0","","IVPP-V11797-10","holotype","","skull","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56152","spm","","536615","0","","IVPP-V11797-10","holotype","","scapula","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56153","spm","","536615","0","","IVPP-V11797-10","holotype","","coracoid","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56154","spm","","536615","0","","IVPP-V11797-10","holotype","","humerus","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56155","spm","","536615","0","","IVPP-V11797-10","holotype","","ulna","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56156","spm","","536615","0","","IVPP-V11797-10","holotype","","radius","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56157","spm","","536615","0","","IVPP-V11797-10","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56158","spm","","536615","0","","IVPP-V11797-10","holotype","","tibia","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56159","spm","","536615","0","","IVPP-V11797-10","holotype","","fibula","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56160","spm","","536615","0","","IVPP-V11797-2","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56161","spm","","536615","0","","IVPP-V11797-12","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56162","spm","","536615","0","","IVPP-V11797-15","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56163","spm","","536615","0","","IVPP-V11797-14","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56164","spm","","536615","0","","IVPP-V11797-23","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56165","spm","","536615","0","","IVPP-V11797-1","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56166","spm","","536615","0","","IVPP-V11797-9","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56167","spm","","536615","0","","IVPP-V11797-13","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56168","spm","","536615","0","","IVPP-V11797-11","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56169","spm","","536615","0","","IVPP-V11797-22","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56170","spm","","536615","0","","IVPP-V11797-3","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
"56171","spm","","536615","0","","IVPP-V11797-29","","","femur","","1","table","","","n. gen. Sinornithomimus n. sp. dongi","species","68342","","Sinornithomimus dongi","species","68342","93.9","89.8","14984"
