"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"80748","spm","","519797","0","","IVPP V12811","holotype","","skull","","1","table","","","n. gen. Sinornithosaurus n. sp. millenii","species","68205","","Sinornithosaurus millenii","species","68205","130","122.46","14889"
"80749","spm","","519797","0","","IVPP V12811","holotype","","scapula","","1","table","","","n. gen. Sinornithosaurus n. sp. millenii","species","68205","","Sinornithosaurus millenii","species","68205","130","122.46","14889"
"80750","spm","","519797","0","","IVPP V12811","holotype","","coracoid","","1","table","","","n. gen. Sinornithosaurus n. sp. millenii","species","68205","","Sinornithosaurus millenii","species","68205","130","122.46","14889"
"80751","spm","","519797","0","","IVPP V12811","holotype","","humerus","","1","table","","","n. gen. Sinornithosaurus n. sp. millenii","species","68205","","Sinornithosaurus millenii","species","68205","130","122.46","14889"
"80752","spm","","519797","0","","IVPP V12811","holotype","","humerus","","1","table","","","n. gen. Sinornithosaurus n. sp. millenii","species","68205","","Sinornithosaurus millenii","species","68205","130","122.46","14889"
"80753","spm","","519797","0","","IVPP V12811","holotype","","radius","","1","table","","","n. gen. Sinornithosaurus n. sp. millenii","species","68205","","Sinornithosaurus millenii","species","68205","130","122.46","14889"
"80754","spm","","519797","0","","IVPP V12811","holotype","","ulna","","1","table","","","n. gen. Sinornithosaurus n. sp. millenii","species","68205","","Sinornithosaurus millenii","species","68205","130","122.46","14889"
"80755","spm","","519797","0","","IVPP V12811","holotype","","femur","","1","table","","","n. gen. Sinornithosaurus n. sp. millenii","species","68205","","Sinornithosaurus millenii","species","68205","130","122.46","14889"
"80756","spm","","824853","0","","D2140","holotype","","skull","","1","table","","","Sinornithosaurus n. sp. haoiana","species","152532","","Sinornithosaurus haoiana","species","152532","125.45","122.46","30569"
"80757","spm","","824853","0","","D2140","holotype","","scapula","","1","table","","","Sinornithosaurus n. sp. haoiana","species","152532","","Sinornithosaurus haoiana","species","152532","125.45","122.46","30569"
"80758","spm","","824853","0","","D2140","holotype","","ulna","","1","table","","","Sinornithosaurus n. sp. haoiana","species","152532","","Sinornithosaurus haoiana","species","152532","125.45","122.46","30569"
