"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"80412","spm","","498853","0","","NIGP 127586","holotype","","skull","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80413","spm","","498853","0","","NIGP 127586","holotype","","humerus","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80414","spm","","498853","0","","NIGP 127586","holotype","","radius","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80415","spm","","498853","0","","NIGP 127586","holotype","","femur","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80416","spm","","498853","0","","NIGP 127586","holotype","","tibia","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80417","spm","","498853","0","","NIGP 127586","holotype","","scapula","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80418","spm","","498853","0","","NIGP 127586","holotype","","ulna","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80419","spm","","498853","0","","NIGP 127587","paratype","","skull","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80420","spm","","498853","0","","NIGP 127587","paratype","","humerus","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80421","spm","","498853","0","","NIGP 127587","paratype","","radius","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80422","spm","","498853","0","","NIGP 127587","paratype","","femur","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80423","spm","","498853","0","","NIGP 127587","paratype","","tibia","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80424","spm","","498853","0","","NIGP 127587","paratype","","ulna","","1","","","","Sinosauropteryx prima","species","54549","","Sinosauropteryx prima","species","54549","130","122.46","19389"
"80425","spm","","670359","0","","D 2141","","","skull","","1","","","","Sinosauropteryx sp.","genus","54548","","Sinosauropteryx","genus","54548","129.4","125","28191"
"80426","spm","","670359","0","","D 2141","","","humerus","","1","","","","Sinosauropteryx sp.","genus","54548","","Sinosauropteryx","genus","54548","129.4","125","28191"
"80427","spm","","670359","0","","D 2141","","","ulna","","1","","","","Sinosauropteryx sp.","genus","54548","","Sinosauropteryx","genus","54548","129.4","125","28191"
"80428","spm","","670359","0","","D 2141","","","tibia","","1","","","","Sinosauropteryx sp.","genus","54548","","Sinosauropteryx","genus","54548","129.4","125","28191"
