"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"80824","spm","","536678","0","","IVPP V12615","holotype","","skull","","1","table","","","n. gen. Sinovenator n. sp. changii","species","64889","","Sinovenator changii","species","64889","125.45","122.46","12906"
"80825","spm","","536678","0","","IVPP V12615","holotype","","scapula","","1","table","","","n. gen. Sinovenator n. sp. changii","species","64889","","Sinovenator changii","species","64889","125.45","122.46","12906"
"80826","spm","","536678","0","","IVPP V12615","holotype","","femur","","1","table","","","n. gen. Sinovenator n. sp. changii","species","64889","","Sinovenator changii","species","64889","125.45","122.46","12906"
"80827","spm","","536678","0","","IVPP V12615","holotype","","tibia","","1","table","","","n. gen. Sinovenator n. sp. changii","species","64889","","Sinovenator changii","species","64889","125.45","122.46","12906"
"80828","spm","","536678","0","","IVPP V12583","paratype","","humerus","","1","table","","","n. gen. Sinovenator n. sp. changii","species","64889","","Sinovenator changii","species","64889","125.45","122.46","12906"
"80829","spm","","536678","0","","IVPP V12583","paratype","","radius","","1","table","","","n. gen. Sinovenator n. sp. changii","species","64889","","Sinovenator changii","species","64889","125.45","122.46","12906"
"80830","spm","","536678","0","","IVPP V12583","paratype","","ulna","","1","table","","","n. gen. Sinovenator n. sp. changii","species","64889","","Sinovenator changii","species","64889","125.45","122.46","12906"
"80831","spm","","536678","0","","IVPP V12583","paratype","","femur","","1","table","","","n. gen. Sinovenator n. sp. changii","species","64889","","Sinovenator changii","species","64889","125.45","122.46","12906"
"80832","spm","","536678","0","","IVPP V12583","paratype","","tibiotarsus","","1","table","","","n. gen. Sinovenator n. sp. changii","species","64889","","Sinovenator changii","species","64889","125.45","122.46","12906"
"80833","spm","","536678","0","","IVPP V12583","holotype","","tibiotarsus","","1","table","","","n. gen. Sinovenator n. sp. changii","species","64889","","Sinovenator changii","species","64889","125.45","122.46","12906"
