"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18588","spm","N","","0","","TMP 90.300.1","","","fibula","","1","table","","","UNKNOWN","species","54821","obsolete variant of","Sinraptor dongi","species","54821","","","34423"
"18589","spm","N","","0","","TMP 90.300.1","","","tibia","","1","table","","","UNKNOWN","species","54821","obsolete variant of","Sinraptor dongi","species","54821","","","34423"
"18590","spm","N","","0","","TMP 90.300.1","","","fibula","","1","table","","","UNKNOWN","species","54821","obsolete variant of","Sinraptor dongi","species","54821","","","34423"
"78395","spm","","459064","0","","IVPP 10600","holotype","","skull","","1","text","","","n. gen. Sinraptor n. sp. dongi","species","54821","","Sinraptor dongi","species","54821","163.5","157.3","9255"
"78396","spm","","459064","0","","IVPP 10600","holotype","left","scapula","","1","text","","","n. gen. Sinraptor n. sp. dongi","species","54821","","Sinraptor dongi","species","54821","163.5","157.3","9255"
"78397","spm","","459064","0","","IVPP 10600","holotype","","femur","","1","text","","","n. gen. Sinraptor n. sp. dongi","species","54821","","Sinraptor dongi","species","54821","163.5","157.3","9255"
"78398","spm","","459064","0","","IVPP 10600","holotype","left","tibia","","1","text","","","n. gen. Sinraptor n. sp. dongi","species","54821","","Sinraptor dongi","species","54821","163.5","157.3","9255"
"78399","spm","","459064","0","","IVPP 10600","holotype","right","tibia","","1","text","","","n. gen. Sinraptor n. sp. dongi","species","54821","","Sinraptor dongi","species","54821","163.5","157.3","9255"
"78400","spm","","459064","0","","IVPP 10600","holotype","left","fibula","","1","text","","","n. gen. Sinraptor n. sp. dongi","species","54821","","Sinraptor dongi","species","54821","163.5","157.3","9255"
"78401","spm","","459064","0","","IVPP 10600","holotype","right","fibula","","1","text","","width = minimum mid-shaft anteroporterior","n. gen. Sinraptor n. sp. dongi","species","54821","","Sinraptor dongi","species","54821","163.5","157.3","9255"
"78402","spm","","459064","0","","IVPP 10600","holotype","right","scapula","","1","text","","","n. gen. Sinraptor n. sp. dongi","species","54821","","Sinraptor dongi","species","54821","163.5","157.3","9255"
"80165","spm","","811835","0","","ZDM 0024","holotype","","skull","","1","","","","Yangchuanosaurus n. sp. hepingensis","species","54823","recombined as","Sinraptor hepingensis","species","54823","163.5","157.3","10371"
"80166","spm","","811835","0","","ZDM 0024","holotype","left","scapula","","1","","","","Yangchuanosaurus n. sp. hepingensis","species","54823","recombined as","Sinraptor hepingensis","species","54823","163.5","157.3","10371"
"80167","spm","","811835","0","","ZDM 0024","holotype","right","scapula","","1","","","","Yangchuanosaurus n. sp. hepingensis","species","54823","recombined as","Sinraptor hepingensis","species","54823","163.5","157.3","10371"
"80168","spm","","811835","0","","ZDM 0024","holotype","","coracoid","","1","","","","Yangchuanosaurus n. sp. hepingensis","species","54823","recombined as","Sinraptor hepingensis","species","54823","163.5","157.3","10371"
"80169","spm","","811835","0","","ZDM 0024","holotype","","femur","","1","","","","Yangchuanosaurus n. sp. hepingensis","species","54823","recombined as","Sinraptor hepingensis","species","54823","163.5","157.3","10371"
