"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"69109","spm","","534735","13654","","SAM-PK-K1105","holotype","left","coracoid","","1","","","width = measured in the proximal end","n. gen. Stormbergia n. sp. dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69110","spm","","534735","13654","","SAM-PK-K1105","holotype","right","coracoid","","1","","","width = measured in the proximal end","n. gen. Stormbergia n. sp. dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69111","spm","","534735","13654","","SAM-PK-K1105","holotype","","radius","","1","","","width = measured in the proximal end","n. gen. Stormbergia n. sp. dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69112","spm","","534735","13654","","SAM-PK-K1105","holotype","","ulna","","1","","","width = measured in the proximal end","n. gen. Stormbergia n. sp. dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69113","spm","","534735","13654","","SAM-PK-K1105","holotype","","femur","","1","","","width = measured in the proximal end","n. gen. Stormbergia n. sp. dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69114","spm","","534735","13654","","SAM-PK-K1105","holotype","left","tibia","","1","","","width = measured in the proximal end","n. gen. Stormbergia n. sp. dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69115","spm","","534735","13654","","SAM-PK-K1105","holotype","right","tibia","","1","","","width = measured in the proximal end","n. gen. Stormbergia n. sp. dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69116","spm","","534896","19673","","BMNH R11000","paratype","","scapula","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Stormbergia n. sp. dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69117","spm","","534896","19673","","BMNH R11000","paratype","","coracoid","","1","","","width = measured in the proximal end","n. gen. Stormbergia n. sp. dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69118","spm","","534896","19673","","BMNH R11000","paratype","","tibia","","1","","","width = measured in the distal end","n. gen. Stormbergia n. sp. dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69119","spm","","534903","13655","","BP/1/4885","","","femur","","1","","","","Stormbergia dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69120","spm","","534903","13655","","BP/1/4885","","","tibia","","1","","","width = measured in the proximal end","Stormbergia dangershoeki","species","68157","","Stormbergia dangershoeki","species","68157","201.3","190.8","14837"
"69121","spm","","534893","13685","","SAM-PK-1107 ","","","scapula","","1","","","width = measured in the proximal end","cf. Stormbergia sp.","genus","68156","","Stormbergia","genus","68156","201.3","190.8","14837"
"69122","spm","","534893","13685","","SAM-PK-1107 ","","","coracoid","","1","","","width = measured in the proximal end","cf. Stormbergia sp.","genus","68156","","Stormbergia","genus","68156","201.3","190.8","14837"
"69123","spm","","534893","13685","","SAM-PK-1107 ","","","humerus","","1","","","width = measured in the proximal end","cf. Stormbergia sp.","genus","68156","","Stormbergia","genus","68156","201.3","190.8","14837"
"69124","spm","","534893","13685","","SAM-PK-1107 ","","","femur","","1","","","","cf. Stormbergia sp.","genus","68156","","Stormbergia","genus","68156","201.3","190.8","14837"
