"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18621","spm","","517542","0","","Amer. Mus. No. 5339","","","femur","","1","table","","length said to be 480 mm by Osborn 1916, who gives width (""antero-posterior diameter of shaft"" at ""mid-length"")","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","34423"
"18622","spm","","517542","0","","Amer. Mus. No. 5339","","","fibula","","1","table","","","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","34423"
"18623","spm","","517539","0","","AMNH 5385","","","femur","","1","table","","","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","34423"
"18624","spm","","517539","0","","AMNH 5385","","","tibia","","1","table","","","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","34423"
"19033","spm","","517543","0","","930f Ottawa Museum","holotype","","femur","","1","table","","""antero-posterior diameter of shaft"" at ""mid-length""","Ornithomimus n. sp. altus","species","57268","recombined as","Struthiomimus altus","species","57268","83.5","70.6","13071"
"19034","spm","","517543","0","","930f Ottawa Museum","holotype","","tibia","","1","table","","""from 2 specimens""","Ornithomimus n. sp. altus","species","57268","recombined as","Struthiomimus altus","species","57268","83.5","70.6","13071"
"19035","spm","","517542","0","","Amer. Mus. No. 5339","","","scapula","","1","table","","","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","13071"
"19036","spm","","517542","0","","Amer. Mus. No. 5339","","","humerus","","1","table","","","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","13071"
"19037","spm","","517542","0","","Amer. Mus. No. 5339","","","ulna","","1","table","","""ulno-radius""","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","13071"
"19038","spm","","517542","0","","Amer. Mus. No. 5339","","","tibia","","1","table","","","Struthiomimus altus","species","57266","","Struthiomimus altus","species","57268","83.6","72.1","13071"
"61848","spm","N","","0","","UCMZ(VP)1980.1","","","scapula","","1","table","","AP width at midshaft","UNKNOWN","species","57266","recombined as","Struthiomimus altus","species","57268","","","41290"
"61849","spm","N","","0","","UCMZ(VP)1980.1","","","coracoid","","1","table","","AP width, point not stated","UNKNOWN","species","57266","recombined as","Struthiomimus altus","species","57268","","","41290"
"61850","spm","N","","0","","UCMZ(VP)1980.1","","","humerus","","1","table","","AP width at midshaft","UNKNOWN","species","57266","recombined as","Struthiomimus altus","species","57268","","","41290"
"61851","spm","N","","0","","UCMZ(VP)1980.1","","","ulna","","1","table","","AP width at midshaft","UNKNOWN","species","57266","recombined as","Struthiomimus altus","species","57268","","","41290"
"61852","spm","N","","0","","UCMZ(VP)1980.1","","","radius","","1","table","","","UNKNOWN","species","57266","recombined as","Struthiomimus altus","species","57268","","","41290"
