"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"85621","spm","","741249","0","","PIN 557-20","holotype","left","scapula","","1","table","","","n. gen. Talarurus n. sp. plicatospineus","species","52797","","Talarurus plicatospineus","species","52797","100.5","89.8","9909"
"85622","spm","","741249","0","","PIN 557-91","holotype","left","scapula","","1","table","","","n. gen. Talarurus n. sp. plicatospineus","species","52797","","Talarurus plicatospineus","species","52797","100.5","89.8","9909"
"85623","spm","","741249","0","","PIN 557-20","holotype","","scapulocoracoid","","1","table","","","n. gen. Talarurus n. sp. plicatospineus","species","52797","","Talarurus plicatospineus","species","52797","100.5","89.8","9909"
"85624","spm","","741249","0","","PIN 557-91","holotype","","scapulocoracoid","","1","table","","","n. gen. Talarurus n. sp. plicatospineus","species","52797","","Talarurus plicatospineus","species","52797","100.5","89.8","9909"
"85625","spm","","741249","0","","PIN 557-71","holotype","left","humerus","","1","table","","Maximum width of shaft","n. gen. Talarurus n. sp. plicatospineus","species","52797","","Talarurus plicatospineus","species","52797","100.5","89.8","9909"
"85626","spm","","741249","0","","PIN 557-91","holotype","left","humerus","","1","table","","Maximum width of shaft","n. gen. Talarurus n. sp. plicatospineus","species","52797","","Talarurus plicatospineus","species","52797","100.5","89.8","9909"
"85627","spm","","741249","0","","PIN 557-80","holotype","left","ulna","","1","table","","Maximum width of shaft","n. gen. Talarurus n. sp. plicatospineus","species","52797","","Talarurus plicatospineus","species","52797","100.5","89.8","9909"
"85628","spm","","741249","0","","PIN 557-91","holotype","left","ulna","","1","table","","Maximum width of shaft","n. gen. Talarurus n. sp. plicatospineus","species","52797","","Talarurus plicatospineus","species","52797","100.5","89.8","9909"
"85629","spm","","741249","0","","PIN 557-85","holotype","left","radius","","1","table","","Maximum width of shaft","n. gen. Talarurus n. sp. plicatospineus","species","52797","","Talarurus plicatospineus","species","52797","100.5","89.8","9909"
"85630","spm","","741249","0","","PIN 557-91","holotype","left","radius","","1","table","","Maximum width of shaft","n. gen. Talarurus n. sp. plicatospineus","species","52797","","Talarurus plicatospineus","species","52797","100.5","89.8","9909"
