"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"83020","spm","","559778","21210","","MPZ 99/9","holotype","left","femur","","1","text","","","n. gen. Tastavinsaurus n. sp. sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","28879"
"83021","spm","","559778","21210","","MPZ 99/9","holotype","right","femur","","1","text","","","n. gen. Tastavinsaurus n. sp. sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","28879"
"83022","spm","","559778","21210","","MPZ 99/9 (Arsis1–50)","holotype","right","tibia","","1","text","","","n. gen. Tastavinsaurus n. sp. sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","28879"
"83023","spm","","559778","21210","","MPZ 99/9 (Arsis1–54)","holotype","right","fibula","","1","text","","","n. gen. Tastavinsaurus n. sp. sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","28879"
"83466","spm","","1010382","0","","CT-19","","","ulna","","1","table","","craniocaudal width of shaft","Tastavinsaurus sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","39481"
"83467","spm","","1010382","0","","CT-19","","left","femur","","1","table","","minimum craniocaudal width of the shaft","Tastavinsaurus sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","39481"
"83468","spm","","1010382","0","","MPZ99-9","","right","femur","","1","table","","minimum craniocaudal width of the shaft","Tastavinsaurus sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","39481"
"83469","spm","","1010382","0","","MPZ99-9","","left","femur","","1","table","","minimum craniocaudal width of the shaft","Tastavinsaurus sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","39481"
"83470","spm","","1010382","0","","CT-19","","left","tibia","","1","table","","minimum craniocaudal width of the shaft","Tastavinsaurus sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","39481"
"83471","spm","","1010382","0","","MPZ99-9","","right","tibia","","1","table","","minimum craniocaudal width of the shaft","Tastavinsaurus sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","39481"
"83472","spm","","1010382","0","","CT-19","","left","fibula","","1","table","","shaft min. craniocaudal width","Tastavinsaurus sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","39481"
"83473","spm","","1010382","0","","MPZ99-9","","right","fibula","","1","table","","shaft min. craniocaudal width","Tastavinsaurus sanzi","species","138440","","Tastavinsaurus sanzi","species","138440","125.45","122.46","39481"
