"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56301","spm","","519867","0","","FWMSH 93B1","holotype","","skull","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56302","spm","","519867","0","","FWMSH 93B1","holotype","both","scapula","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56303","spm","","519867","0","","FWMSH 93B1","holotype","both","coracoid","","1","table","","length is actually height, good enough","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56304","spm","","519867","0","","FWMSH 93B1","holotype","left","humerus","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56305","spm","","519867","0","","FWMSH 93B1","holotype","left","ulna","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56306","spm","","519867","0","","FWMSH 93B1","holotype","left","radius","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56307","spm","","519867","0","","FWMSH 93B1","holotype","left","femur","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56308","spm","","519867","0","","FWMSH 93B1","holotype","left","tibia","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56309","spm","","519867","0","","FWMSH 93B1","holotype","left","fibula","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56310","spm","","519867","0","","FWMSH 93B2","","right","coracoid","","1","table","","length is actually height, sorry","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56311","spm","","519867","0","","FWMSH 93B2","","left","humerus","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56312","spm","","519867","0","","FWMSH 93B2","","right","ulna","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
"56313","spm","","519867","0","","FWMSH 93B2","","right","radius","","1","table","","","Tenontosaurus n. sp. dossi","species","67272","","Tenontosaurus dossi","species","67272","122.46","112.03","14257"
