"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18883","spm","","901550","33840","","Amer. Mus. 970","","","humerus","","1","table","","","Triceratops serratus","species","63769","subjective synonym of","Triceratops horridus","species","63766","72.1","66","13079"
"18884","spm","","901550","33840","","Amer. Mus. 970","","","radius","","1","table","","","Triceratops serratus","species","63769","subjective synonym of","Triceratops horridus","species","63766","72.1","66","13079"
"18885","spm","","901550","33840","","Amer. Mus. 970","","","ulna","","1","table","","","Triceratops serratus","species","63769","subjective synonym of","Triceratops horridus","species","63766","72.1","66","13079"
"18886","spm","","487602","0","","Amer. Mus. 5033","","","femur","","1","table","","","Triceratops elatus","species","63772","subjective synonym of","Triceratops horridus","species","63766","72.1","66","13079"
"18887","spm","","487602","0","","Amer. Mus. 5033","","","tibia","","1","table","","","Triceratops elatus","species","63772","subjective synonym of","Triceratops horridus","species","63766","72.1","66","13079"
"18888","spm","","487602","0","","Amer. Mus. 5033","","","fibula","","1","table","","","Triceratops elatus","species","63772","subjective synonym of","Triceratops horridus","species","63766","72.1","66","13079"
"18966","spm","","788610","0","","TMM 41361","","right","femur","","1","text","","","Torosaurus cf. utahensis","species","65132","recombined as","Triceratops utahensis","species","63400","72.1","66","28672"
"18967","spm","","788610","0","","TMM 41361","","right","femur","","1","text","","","Torosaurus cf. utahensis","species","65132","recombined as","Triceratops utahensis","species","63400","72.1","66","28672"
"18968","spm","","788610","0","","TMM 41361","","both","tibia","","1","text","","","Torosaurus cf. utahensis","species","65132","recombined as","Triceratops utahensis","species","63400","72.1","66","28672"
"18969","spm","","788610","0","","TMM 41361","","","femur","","1","text","","mid-shaft circumference","Torosaurus cf. utahensis","species","65132","recombined as","Triceratops utahensis","species","63400","72.1","66","28672"
"18970","spm","","788610","0","","TMM 41361","","","humerus","","1","text","","mid-shaft circumference","Torosaurus cf. utahensis","species","65132","recombined as","Triceratops utahensis","species","63400","72.1","66","28672"
