"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"83456","spm","","465134","34161","","BYU 5500","holotype","","scapulocoracoid","","1","text","","","n. gen. Supersaurus n. sp. vivianae","species","56455","","Supersaurus vivianae","species","56455","155.7","145","12262"
"83457","spm","","465134","34161","","BYU 5501","some paratypes","","scapulocoracoid","","1","text","","","n. gen. Supersaurus n. sp. vivianae","species","56455","","Supersaurus vivianae","species","56455","155.7","145","12262"
"83458","spm","","465133","12062","","BYU 5001","some paratypes","","scapulocoracoid","","1","text","","","n. gen. Ultrasaurus n. sp. macintoshi","species","56449","subjective synonym of","Supersaurus vivianae","species","56455","155.7","145","12262"
"83459","spm","N","","0","","BYU 9462","","right","scapula","","1","table","","","UNKNOWN","species","56453","subjective synonym of","Supersaurus vivianae","species","56455","","","9730"
"83460","spm","N","","0","","BYU 9462","","right","coracoid","","1","table","","","UNKNOWN","species","56453","subjective synonym of","Supersaurus vivianae","species","56455","","","9730"
"83461","spm","N","","0","","FMNH P25107","","left","coracoid","","1","table","","","UNKNOWN","species","56453","subjective synonym of","Supersaurus vivianae","species","56455","","","9730"
"83462","spm","N","","0","","HM Ki 74","","left","scapula","","1","table","","","UNKNOWN","species","56453","subjective synonym of","Supersaurus vivianae","species","56455","","","9730"
"83463","spm","N","","0","","HM Ki 74","","left","coracoid","","1","table","","","UNKNOWN","species","56453","subjective synonym of","Supersaurus vivianae","species","56455","","","9730"
"83464","spm","N","","0","","HM Su 9","","right","scapula","","1","table","","","UNKNOWN","species","56453","subjective synonym of","Supersaurus vivianae","species","56455","","","9730"
"83465","spm","N","","0","","HM S II","","right","coracoid","","1","table","","","UNKNOWN","species","56453","subjective synonym of","Supersaurus vivianae","species","56455","","","9730"
