"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18713","spm","","280868","0","","BMNH R196","","","humerus","","1","table","","","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","136.4","122.46","12623"
"18714","spm","","280868","0","","BMNH R196","","","ulna","","1","table","","","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","136.4","122.46","12623"
"18715","spm","","280868","0","","BMNH R196","","","radius","","1","table","","","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","136.4","122.46","12623"
"18716","spm","","280868","0","","BMNH R196","","","femur","","1","table","","no minimum width","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","136.4","122.46","12623"
"18717","spm","","280868","0","","BMNH R196","","","tibia","","1","table","","no minimum width; length placed in quotes","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","136.4","122.46","12623"
"55853","spm","","219965","30389","","IRSNB 1534","holotype","","femur","","1","text","","""lectotype"" (presumably IRSNB 1534)","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","32089"
"87705","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","right","scapula","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87706","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","left","scapula","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87707","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","right","coracoid","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87708","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","left","coracoid","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87709","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","right","humerus","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87710","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","left","humerus","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87711","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","right","radius","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87712","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","left","radius","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87713","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","right","ulna","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87714","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","left","ulna","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87715","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","right","femur","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87716","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","left","femur","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87717","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","right","tibia","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
"87718","spm","","219965","30389","","IRSNB 1534 (Q)","holotype","left","tibia","","1","table","","","Iguanodon n. sp. bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","129.4","122.46","42753"
