"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"121309","spm","","1171691","0","","M025","","","","","1","text","","","Pleydellia aalensis","species","322810","recombined as","Cotteswoldia aalensis","species","322808","180.1","175.6","48211"
"121310","spm","","1171692","0","","M033","","","","","1","text","","","Pleydellia subcompta","species","322807","","Pleydellia subcompta","species","322806","180.1","175.6","48211"
"121311","spm","","1171693","0","","M139","","","","","1","text","","","Pleydellia (Cotteswoldia) egena","species","15423","species not entered","Pleydellia","genus","15423","180.1","175.6","48211"
"121312","spm","","1171694","0","","","","","","","1","text","","","Pleydellia mactra","species","322805","recombined as","Cotteswoldia mactra","species","322803","180.1","175.6","48211"
"121313","spm","","1171695","0","","M3040","","","","","1","text","","","Pleydellia (Cotteswoldia) aff. attrita","species","15423","species not entered","Pleydellia","genus","15423","180.1","175.6","48211"
"121314","spm","","1171696","0","","M3098","","","","","1","text","","","Pleydellia (Walkericeras) aff. lugdunensis","species","15423","species not entered","Pleydellia","genus","15423","180.1","175.6","48211"
"121315","spm","","1171697","0","","M4030","","","","","1","text","","","Pleydellia leura","species","322816","","Pleydellia leura","species","322815","180.1","175.6","48211"
"121316","spm","","1171698","0","","M3097","","","","","1","text","","","Pleydellia (Cotteswoldia) paucicostata","species","15423","species not entered","Pleydellia","genus","15423","180.1","175.6","48211"
"121317","spm","","1171699","0","","M3040","","","","","1","text","","","Pleydellia buckmani","species","322819","","Pleydellia buckmani","species","322819","180.1","175.6","48211"
"121318","spm","","1171700","0","","BAS J 721","","","","","1","text","","","Pleydellia (Cotteswoldia) bifax","species","15423","species not entered","Pleydellia","genus","15423","180.1","175.6","48211"
"121565","spm","","1172997","0","","NS 140/258","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121566","spm","","1172997","0","","NS 140/259","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121567","spm","","1172997","0","","NS 140/264","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121568","spm","","1172997","0","","NS 140/265","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121569","spm","","1172997","0","","NS 140/267","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121570","spm","","1172997","0","","NS 140/272","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121571","spm","","1172997","0","","NS 140/277","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121572","spm","","1172997","0","","NS 140/278","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121573","spm","","1172997","0","","NS 140/279","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121574","spm","","1172997","0","","NS 140/286","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121575","spm","","1172997","0","","NS 140/303","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121576","spm","","1172997","0","","NS 140/307","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121577","spm","","1172997","0","","NS 140/308","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121578","spm","","1172997","0","","NS 140/281","","","","","1","table","","","Pleydellia (Pleydellia) aalensis","species","278821","","Pleydellia (Pleydellia) aalensis","species","278820","180.1","175.6","48259"
"121579","spm","","1172999","0","","NS 140/282","","","","","1","table","","","Pleydellia (Pleydellia) buckmani","species","322819","obsolete variant of","Pleydellia buckmani","species","322819","180.1","175.6","48259"
"121580","spm","","1172998","0","","NS 140/260","","","","","1","table","","","Pleydellia (Pleydellia) flamandi","species","278819","species not entered","Pleydellia (Pleydellia)","subgenus","278819","180.1","175.6","48259"
"121581","spm","","1172998","0","","NS 140/262","","","","","1","table","","","Pleydellia (Pleydellia) flamandi","species","278819","species not entered","Pleydellia (Pleydellia)","subgenus","278819","180.1","175.6","48259"
"121582","spm","","1172998","0","","NS 140/267","","","","","1","table","","","Pleydellia (Pleydellia) flamandi","species","278819","species not entered","Pleydellia (Pleydellia)","subgenus","278819","180.1","175.6","48259"
"121583","spm","","1172998","0","","NS 140/309","","","","","1","table","","","Pleydellia (Pleydellia) flamandi","species","278819","species not entered","Pleydellia (Pleydellia)","subgenus","278819","180.1","175.6","48259"
"121584","spm","","1172998","0","","NS 140/JJ6","","","","","1","table","","","Pleydellia (Pleydellia) flamandi","species","278819","species not entered","Pleydellia (Pleydellia)","subgenus","278819","180.1","175.6","48259"
"121585","spm","","1172998","0","","NS 140/JJ8","","","","","1","table","","","Pleydellia (Pleydellia) flamandi","species","278819","species not entered","Pleydellia (Pleydellia)","subgenus","278819","180.1","175.6","48259"
"121586","spm","","1173000","0","","NS 140/107","","","","","1","table","","","Pleydellia (Pleydellia) mactra","species","322805","recombined as","Cotteswoldia mactra","species","322803","180.1","175.6","48259"
"121587","spm","","1173000","0","","NS 140/JJ7","","","","","1","table","","","Pleydellia (Pleydellia) mactra","species","322805","recombined as","Cotteswoldia mactra","species","322803","180.1","175.6","48259"
"121588","spm","","1173001","0","","NS 140/110","","","","","1","table","","","Pleydellia (Pleydellia) celtica","species","278819","species not entered","Pleydellia (Pleydellia)","subgenus","278819","180.1","175.6","48259"
"121589","spm","","1173009","0","","NS 140/261","","","","","1","table","","","Cotteswoldia paucicostata","species","77149","subjective synonym of, species not entered","Pleydellia","genus","15423","180.1","175.6","48259"
