"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"55832","spm","","1032618","0","","ZCDM V5000","holotype","","skull","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55833","spm","","1032618","0","","ZCDM V5000","holotype","","scapula","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55834","spm","","1032618","0","","ZCDM V5000","holotype","","radius","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55835","spm","","1032618","0","","ZCDM V5000","holotype","","metacarpal III","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55836","spm","","1032618","0","","ZCDM V5000","holotype","","ilium","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55837","spm","","1032618","0","","ZCDM V5000","holotype","","femur","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55838","spm","","1032618","0","","ZCDM V5000","holotype","","tibia","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55839","spm","","1032618","0","","ZCDM V5000","holotype","","metatarsal III","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55840","spm","","1032618","0","","ZCDM V5001","","","skull","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55841","spm","","1032618","0","","ZCDM V5001","","","scapula","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55842","spm","","1032618","0","","ZCDM V5001","","","radius","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55843","spm","","1032618","0","","ZCDM V5001","","","metacarpal III","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55844","spm","","1032618","0","","ZCDM V5001","","","ilium","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55845","spm","","1032618","0","","ZCDM V5001","","","femur","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55846","spm","","1032618","0","","ZCDM V5001","","","tibia","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55847","spm","","1032618","0","","ZCDM V5001","","","metatarsal III","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55848","spm","","1032618","0","","ELDM V1001","","","skull","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55849","spm","","1032618","0","","ELDM V1001","","","ilium","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55850","spm","","1032618","0","","ELDM V1001","","","femur","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55851","spm","","1032618","0","","ELDM V1001","","","tibia","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
"55852","spm","","1032618","0","","ELDM V1001","","","metatarsal III","","1","table","","","n. gen. Yutyrannus n. sp. huali","species","230947","","Yutyrannus huali","species","230947","129.4","113","41024"
