Specimen_Number,Specimen_Part,Identified_Name,Accepted_Name,Accepted_Rank,Length,Width,Height,Circumference,Genus,Longitude,Latitude
83947,femur,n. gen. Aardonyx n. sp. celestae,Aardonyx celestae,species,681,,91,,Aardonyx,27.824444,-28.466389
83948,ulna,n. gen. Aardonyx n. sp. celestae,Aardonyx celestae,species,305,,42,,Aardonyx,27.824444,-28.466389
83949,radius,n. gen. Aardonyx n. sp. celestae,Aardonyx celestae,species,283,,36,,Aardonyx,27.824444,-28.466389
83950,radius,n. gen. Aardonyx n. sp. celestae,Aardonyx celestae,species,234,,33,,Aardonyx,27.824444,-28.466389
83951,fibula,n. gen. Aardonyx n. sp. celestae,Aardonyx celestae,species,,,36,,Aardonyx,27.824444,-28.466389
79409,skull,n. gen. Abelisaurus n. sp. comahuensis,Abelisaurus comahuensis,species,856,,,,Abelisaurus,-67.982765,-38.761730
82495,skull,n. gen. Abrosaurus n. sp. dongpoensis,Abrosaurus dongpoensis,species,456,,,,Abrosaurus,104.852501,29.411388
71287,skull,n. gen. Abydosaurus n. sp. mcintoshi,Abydosaurus mcintoshi,species,500,,,,Abydosaurus,-109.305244,40.440887
80813,femur,n. gen. Achillobator n. sp. giganticus,Achillobator giganticus,species,505,,,,Achillobator,109.858887,44.340000
80814,tibia,n. gen. Achillobator n. sp. giganticus,Achillobator giganticus,species,490.4,,,,Achillobator,109.858887,44.340000
80815,radius,n. gen. Achillobator n. sp. giganticus,Achillobator giganticus,species,260,,,,Achillobator,109.858887,44.340000
18672,femur,n. gen. Acrocanthosaurus n. sp. atokensis,Acrocanthosaurus atokensis,species,1153,,,,Acrocanthosaurus,-95.792221,34.180000
18673,tibia,n. gen. Acrocanthosaurus n. sp. atokensis,Acrocanthosaurus atokensis,species,865,,73,,Acrocanthosaurus,-95.792221,34.180000
18674,fibula,n. gen. Acrocanthosaurus n. sp. atokensis,Acrocanthosaurus atokensis,species,801,,40,,Acrocanthosaurus,-95.792221,34.180000
18997,humerus,Acrocanthosaurus atokensis,Acrocanthosaurus atokensis,species,370,,55,,Acrocanthosaurus,-94.766670,34.166668
18998,radius,Acrocanthosaurus atokensis,Acrocanthosaurus atokensis,species,220,,35,,Acrocanthosaurus,-94.766670,34.166668
18999,ulna,Acrocanthosaurus atokensis,Acrocanthosaurus atokensis,species,255,,38,,Acrocanthosaurus,-94.766670,34.166668
19000,femur,Acrocanthosaurus atokensis,Acrocanthosaurus atokensis,species,1277,,110,425,Acrocanthosaurus,-94.766670,34.166668
19001,tibia,Acrocanthosaurus atokensis,Acrocanthosaurus atokensis,species,958,,,,Acrocanthosaurus,-95.806389,34.180000
19002,femur,Acrocanthosaurus atokensis,Acrocanthosaurus atokensis,species,1090,,,388,Acrocanthosaurus,-97.784447,32.747501
56437,skull,Acrocanthosaurus atokensis,Acrocanthosaurus atokensis,species,1160,,,,Acrocanthosaurus,-94.766670,34.166668
56438,scapula,Acrocanthosaurus atokensis,Acrocanthosaurus atokensis,species,1030,,,,Acrocanthosaurus,-94.766670,34.166668
56439,coracoid,Acrocanthosaurus atokensis,Acrocanthosaurus atokensis,species,360,210,,,Acrocanthosaurus,-94.766670,34.166668
80790,femur,UNKNOWN,Adasaurus mongoliensis,species,273,,,,Adasaurus,,
80219,scapula,n. gen. Aerosteon n. sp. riocoloradensis,Aerosteon riocoloradensis,species,570,,,,Aerosteon,-69.330498,-37.134998
80220,coracoid,n. gen. Aerosteon n. sp. riocoloradensis,Aerosteon riocoloradensis,species,276,,,,Aerosteon,-69.330498,-37.134998
18782,humerus,n. gen. Afrovenator n. sp. abakensis,Afrovenator abakensis,species,400,,,,Afrovenator,6.533330,16.833330
18783,femur,n. gen. Afrovenator n. sp. abakensis,Afrovenator abakensis,species,760,,,,Afrovenator,6.533330,16.833330
18784,tibia,n. gen. Afrovenator n. sp. abakensis,Afrovenator abakensis,species,687,,,,Afrovenator,6.533330,16.833330
79441,skull,n. gen. Afrovenator n. sp. abakensis,Afrovenator abakensis,species,840,,,,Afrovenator,6.533330,16.833330
69080,skull,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,110,,,,Agilisaurus,104.852501,29.411388
69081,scapula,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,,,16.5,,Agilisaurus,104.852501,29.411388
69082,scapula,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,82,,15,,Agilisaurus,104.852501,29.411388
69083,coracoid,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,33.3,,33.0,,Agilisaurus,104.852501,29.411388
69084,humerus,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,97.0,,11.2,,Agilisaurus,104.852501,29.411388
69085,radius,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,87.6,,5.0,,Agilisaurus,104.852501,29.411388
69086,ulna,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,85.0,,7.4,,Agilisaurus,104.852501,29.411388
69087,femur,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,198,,26,,Agilisaurus,104.852501,29.411388
69088,femur,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,199,,23,,Agilisaurus,104.852501,29.411388
69089,tibia,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,207.0,,18.4,,Agilisaurus,104.852501,29.411388
69090,fibula,n. gen. Agilisaurus n. sp. louderbacki,Agilisaurus louderbacki,species,193,,6,,Agilisaurus,104.852501,29.411388
83983,humerus,n. gen. Agnosphitys n. sp. cromhallensis,Agnosphitys cromhallensis,species,46.5,,5.0,,Agnosphitys,-2.428333,51.623055
18760,humerus,Chasmosaurus mariscalensis,Agujaceratops mariscalensis,species,430,,49,,Agujaceratops,-103.196945,29.138056
18761,ulna,Chasmosaurus mariscalensis,Agujaceratops mariscalensis,species,336,,54,,Agujaceratops,-103.196945,29.138056
18762,radius,Chasmosaurus mariscalensis,Agujaceratops mariscalensis,species,286,,31,,Agujaceratops,-103.196945,29.138056
18763,femur,Chasmosaurus mariscalensis,Agujaceratops mariscalensis,species,554,,54,,Agujaceratops,-103.196945,29.138056
18764,tibia,Chasmosaurus mariscalensis,Agujaceratops mariscalensis,species,437,,56,,Agujaceratops,-103.196945,29.138056
18765,fibula,Chasmosaurus mariscalensis,Agujaceratops mariscalensis,species,334,,24,,Agujaceratops,-103.196945,29.138056
80648,scapula,n. gen. Ingenia n. sp. yanshini,Ajancingenia yanshini,species,145,,,,Ajancingenia,99.599998,43.299999
80649,humerus,n. gen. Ingenia n. sp. yanshini,Ajancingenia yanshini,species,132,,,,Ajancingenia,99.599998,43.299999
80650,femur,n. gen. Ingenia n. sp. yanshini,Ajancingenia yanshini,species,228,,,,Ajancingenia,99.599998,43.299999
80651,tibia,n. gen. Ingenia n. sp. yanshini,Ajancingenia yanshini,species,281,,,,Ajancingenia,99.599998,43.299999
18980,scapula,n. gen. Alamosaurus n. sp. sanjuanensis,Alamosaurus sanjuanensis,species,170,,82,,Alamosaurus,-108.030701,36.314800
80473,ulna,n. gen. Albertonykus n. sp. borealis,Albertonykus borealis,species,27,,,,Albertonykus,-112.883331,51.995834
80474,tibia,n. gen. Albertonykus n. sp. borealis,Albertonykus borealis,species,191,,,,Albertonykus,-112.883331,51.995834
19019,femur,UNKNOWN,Albertosaurus sarcophagus,species,895,,,,Albertosaurus,,
19020,femur,UNKNOWN,Albertosaurus sarcophagus,species,993,,,,Albertosaurus,,
19022,femur,Albertosaurus sarcophagus,Albertosaurus sarcophagus,species,860,,,,Albertosaurus,-111.616669,50.688000
80310,scapula,Albertosaurus n. sp. arctunguis,Albertosaurus sarcophagus,species,740,,,,Albertosaurus,-112.818901,51.542702
80311,coracoid,Albertosaurus n. sp. arctunguis,Albertosaurus sarcophagus,species,148,,,,Albertosaurus,-112.818901,51.542702
80312,humerus,Albertosaurus n. sp. arctunguis,Albertosaurus sarcophagus,species,303,,,,Albertosaurus,-112.818901,51.542702
80313,radius,Albertosaurus n. sp. arctunguis,Albertosaurus sarcophagus,species,136,,,,Albertosaurus,-112.818901,51.542702
80314,ulna,Albertosaurus n. sp. arctunguis,Albertosaurus sarcophagus,species,163,,,,Albertosaurus,-112.818901,51.542702
80315,femur,Albertosaurus n. sp. arctunguis,Albertosaurus sarcophagus,species,1020,,,,Albertosaurus,-112.818901,51.542702
80316,tibia,Albertosaurus n. sp. arctunguis,Albertosaurus sarcophagus,species,980,,,,Albertosaurus,-112.818901,51.542702
80317,fibula,Albertosaurus n. sp. arctunguis,Albertosaurus sarcophagus,species,875,,,,Albertosaurus,-112.818901,51.542702
18625,femur,n. gen. Alectrosaurus n. sp. olseni,Alectrosaurus olseni,species,661,,,215,Alectrosaurus,112.016670,43.733334
18626,tibia,n. gen. Alectrosaurus n. sp. olseni,Alectrosaurus olseni,species,748,,,201,Alectrosaurus,112.016670,43.733334
68889,femur,n. gen. Aletopelta n. sp. coombsi,Aletopelta coombsi,species,510,,,,Aletopelta,-117.295280,33.130001
68890,femur,n. gen. Aletopelta n. sp. coombsi,Aletopelta coombsi,species,560,,,,Aletopelta,-117.295280,33.130001
68891,tibia,n. gen. Aletopelta n. sp. coombsi,Aletopelta coombsi,species,360,,,,Aletopelta,-117.295280,33.130001
68892,tibia,n. gen. Aletopelta n. sp. coombsi,Aletopelta coombsi,species,390,,,,Aletopelta,-117.295280,33.130001
68893,fibula,n. gen. Aletopelta n. sp. coombsi,Aletopelta coombsi,species,320,,,,Aletopelta,-117.295280,33.130001
68894,fibula,n. gen. Aletopelta n. sp. coombsi,Aletopelta coombsi,species,310,,,,Aletopelta,-117.295280,33.130001
80325,skull,n. gen. Alioramus n. sp. remotus,Alioramus remotus,species,700,,,,Alioramus,99.000000,43.000000
80326,skull,Alioramus n. sp. altai,Alioramus altai,species,635,,,,Alioramus,100.386108,43.469444
80327,femur,Alioramus n. sp. altai,Alioramus altai,species,560,,,,Alioramus,100.386108,43.469444
18570,femur,UNKNOWN,Allosaurus fragilis,species,874,,,293,Allosaurus,,
18571,tibia,UNKNOWN,Allosaurus fragilis,species,747,,,265,Allosaurus,,
18572,fibula,UNKNOWN,Allosaurus fragilis,species,620,,,97,Allosaurus,,
18573,femur,UNKNOWN,Allosaurus fragilis,species,981,,,375,Allosaurus,,
18574,tibia,UNKNOWN,Allosaurus fragilis,species,848,,,313,Allosaurus,,
18575,fibula,UNKNOWN,Allosaurus fragilis,species,734,,,126,Allosaurus,,
18576,femur,UNKNOWN,Allosaurus fragilis,species,884,,,340,Allosaurus,,
18577,tibia,UNKNOWN,Allosaurus fragilis,species,757,,,280,Allosaurus,,
18578,fibula,UNKNOWN,Allosaurus fragilis,species,680,,,107,Allosaurus,,
18579,femur,UNKNOWN,Allosaurus fragilis,species,908,,,331,Allosaurus,,
18580,tibia,UNKNOWN,Allosaurus fragilis,species,701,,,277,Allosaurus,,
18581,fibula,UNKNOWN,Allosaurus fragilis,species,783,,,128,Allosaurus,,
18582,femur,UNKNOWN,Allosaurus fragilis,species,899,,,345,Allosaurus,,
18583,femur,UNKNOWN,Allosaurus fragilis,species,848,,,255,Allosaurus,,
18584,femur,UNKNOWN,Allosaurus fragilis,species,872,,,338,Allosaurus,,
18585,tibia,UNKNOWN,Allosaurus fragilis,species,743,,,258,Allosaurus,,
18586,fibula,UNKNOWN,Allosaurus fragilis,species,670,,,111,Allosaurus,,
18587,fibula,UNKNOWN,Allosaurus fragilis,species,596,,,117,Allosaurus,,
18785,humerus,n. gen. Allosaurus n. sp. fragilis,Allosaurus fragilis,species,310,,118,,Allosaurus,-105.224701,38.539501
18786,femur,n. gen. Allosaurus n. sp. fragilis,Allosaurus fragilis,species,850,,,,Allosaurus,-105.224701,38.539501
18787,tibia,n. gen. Allosaurus n. sp. fragilis,Allosaurus fragilis,species,690,,,,Allosaurus,-105.224701,38.539501
19076,humerus,Allosaurus fragilis,Allosaurus fragilis,species,420,,,,Allosaurus,-109.252899,39.172699
55866,femur,UNKNOWN,Allosaurus,genus,258,,,,Allosaurus,,
55867,femur,UNKNOWN,Allosaurus,genus,585,,77,,Allosaurus,,
61883,coracoid,n. gen. Allosaurus n. sp. fragilis,Allosaurus fragilis,species,120,170,,,Allosaurus,-105.224701,38.539501
61884,radius,n. gen. Allosaurus n. sp. fragilis,Allosaurus fragilis,species,222,,20,,Allosaurus,-105.224701,38.539501
